epoch,step,test_loss,train_loss,training_total_time,val_loss
0,3,,,,0.15030016005039215
0,3,,0.2186913639307022,,
1,7,,,,0.12651224434375763
1,7,,0.14894339442253113,,
2,11,,,,0.11848028749227524
2,11,,0.13545186817646027,,
3,15,,,,0.11584790796041489
3,15,,0.13182595372200012,,
4,19,,,,0.11149713397026062
4,19,,0.12870363891124725,,
5,23,,,,0.1092817485332489
5,23,,0.12239633500576019,,
6,27,,,,0.1039944663643837
6,27,,0.11780767887830734,,
7,31,,,,0.09898554533720016
7,31,,0.1139301061630249,,
8,35,,,,0.09478778392076492
8,35,,0.10854005813598633,,
9,39,,,,0.09047193825244904
9,39,,0.10384194552898407,,
10,43,,,,0.08645123243331909
10,43,,0.09842685610055923,,
11,47,,,,0.08325381577014923
11,47,,0.09312553703784943,,
12,51,,,,0.07998031377792358
12,51,,0.08852501213550568,,
13,55,,,,0.077112577855587
13,55,,0.08408604562282562,,
14,59,,,,0.07312951236963272
14,59,,0.08066234737634659,,
15,63,,,,0.06931998580694199
15,63,,0.07666634023189545,,
16,67,,,,0.06520319730043411
16,67,,0.07233487814664841,,
17,71,,,,0.060081444680690765
17,71,,0.06747346371412277,,
18,75,,,,0.05488188937306404
18,75,,0.06191214174032211,,
19,79,,,,0.05004223436117172
19,79,,0.05621703341603279,,
20,83,,,,0.046519845724105835
20,83,,0.049994878470897675,,
21,87,,,,0.04162425547838211
21,87,,0.04425867646932602,,
22,91,,,,0.03871826082468033
22,91,,0.03863868862390518,,
23,95,,,,0.034837812185287476
23,95,,0.033603206276893616,,
24,99,,,,0.032062068581581116
24,99,,0.029492255300283432,,
25,103,,,,0.03008711338043213
25,103,,0.026225540786981583,,
26,107,,,,0.02801709622144699
26,107,,0.0237501822412014,,
27,111,,,,0.026321742683649063
27,111,,0.021701114252209663,,
28,115,,,,0.026082463562488556
28,115,,0.02033521980047226,,
29,119,,,,0.02446337416768074
29,119,,0.018842216581106186,,
30,123,,,,0.02165013737976551
30,123,,0.017408140003681183,,
31,127,,,,0.023552462458610535
31,127,,0.01619633100926876,,
32,131,,,,0.020806053653359413
32,131,,0.015419403091073036,,
33,135,,,,0.01945294439792633
33,135,,0.014606544747948647,,
34,139,,,,0.021107317879796028
34,139,,0.013930360786616802,,
35,143,,,,0.018140973523259163
35,143,,0.013060875236988068,,
36,147,,,,0.01872807741165161
36,147,,0.012633579783141613,,
37,151,,,,0.02056356705725193
37,151,,0.011988955549895763,,
38,155,,,,0.016563856974244118
38,155,,0.01170758530497551,,
39,159,,,,0.018864771351218224
39,159,,0.011138440109789371,,
40,163,,,,0.017899299040436745
40,163,,0.010784952901303768,,
41,167,,,,0.01704764924943447
41,167,,0.010287487879395485,,
42,171,,,,0.017729198560118675
42,171,,0.009817169979214668,,
43,175,,,,0.015944883227348328
43,175,,0.009487796574831009,,
44,179,,,,0.01876959390938282
44,179,,0.00925200991332531,,
45,183,,,,0.015298654325306416
45,183,,0.009043174795806408,,
46,187,,,,0.018267879262566566
46,187,,0.008677367120981216,,
47,191,,,,0.015030018985271454
47,191,,0.008454510942101479,,
48,195,,,,0.01644350402057171
48,195,,0.00804718304425478,,
49,199,,,,0.015420028939843178
49,199,,0.007790030911564827,,
,0,,,4202.5694625377655,
50,200,0.01975177228450775,,,
