epoch,step,test_loss,train_loss,training_total_time,val_loss
0,51,,,,0.08394888788461685
0,51,,0.12216301262378693,,
1,103,,,,0.04570156708359718
1,103,,0.0667792409658432,,
2,155,,,,0.028403686359524727
2,155,,0.028454285115003586,,
3,207,,,,0.024182656779885292
3,207,,0.014105094596743584,,
4,259,,,,0.020566465333104134
4,259,,0.010292377322912216,,
5,311,,,,0.015753792598843575
5,311,,0.008477759547531605,,
6,363,,,,0.01338813453912735
6,363,,0.0069177765399217606,,
7,415,,,,0.014061019755899906
7,415,,0.005862315185368061,,
8,467,,,,0.014083306305110455
8,467,,0.0051836855709552765,,
9,519,,,,0.014333506114780903
9,519,,0.00483423238620162,,
,0,,,823.3480696678162,
10,520,0.01680273376405239,,,
