epoch,step,test_acc,test_loss,train_acc,train_loss,training_total_time,val_acc,val_loss
0,206,,,,,,0.9239130616188049,0.19940859079360962
0,206,,,0.7360942959785461,0.7071496844291687,,,
1,413,,,,,,0.9211956262588501,0.19267982244491577
1,413,,,0.9619105458259583,0.10641231387853622,,,
2,620,,,,,,0.960597813129425,0.09874368458986282
2,620,,,0.9758161902427673,0.06434645503759384,,,
3,827,,,,,,0.9551630616188049,0.1195489838719368
3,827,,,0.9803506731987,0.050901152193546295,,,
4,1034,,,,,,0.9538043737411499,0.13405247032642365
4,1034,,,0.9826179146766663,0.04210391268134117,,,
5,1241,,,,,,0.9415760636329651,0.1993914246559143
5,1241,,,0.9885126948356628,0.030876168981194496,,,
6,1448,,,,,,0.94701087474823,0.1717609316110611
6,1448,,,0.9865477681159973,0.03295863792300224,,,
7,1655,,,,,,0.926630437374115,0.27505579590797424
7,1655,,,0.9909310936927795,0.025321049615740776,,,
8,1862,,,,,,0.9524456262588501,0.18774449825286865
8,1862,,,0.9954655170440674,0.014439921826124191,,,
9,2069,,,,,,0.9538043737411499,0.16619786620140076
9,2069,,,0.9933494329452515,0.019001349806785583,,,
,0,,,,,802.1601572036743,,
10,2070,0.9348490238189697,0.23756800591945648,,,,,
